"id";"sku";"name";"supplier"
"302420";"A19ABBA0075PTE003N0201";"PHILIPP PLEIN 1978 BACKPACK";"Groppetti"
"302415";"32F8SF6Z0L402";"Small wallet in textured leather";"Groppetti"
"302414";"30F9GZCS2L626";"ZOE Medium leather handbag";"Groppetti"
"302413";"MS08ZKJDVY100";"Jumpsuit with mini petal print";"Groppetti"
"302412";"MH96P5BBVC456";"Cardigan in viscose blend";"Groppetti"
"302411";"32S0GJ6C7T001";"JET SET Shoulder bag in textured leather with studs";"Groppetti"
"302410";"32S0GJ6C7T683";"JET SET Shoulder bag in textured leather with studs";"Groppetti"
"302409";"32F7GGNM8L414";"Ginny leather shoulder bag";"Groppetti"
"302408";"30S9GJ4L9T690";"Extra-small Jade shoulder bag in tricolor leather";"Groppetti"
"302407";"30S0SNMS0L688";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302403";"QuickSell2016702";"QUICKSELL";"Wise Boutique"
"302378";"QuickSell2016701";"QUICKSELL";"Yogesh Mordani"
"302216";"QuickSell2016601";"QUICKSELL";"Yogesh Mordani"
"302197";"39F5LHRF3L001CROSSGRAINEDLEATHERWALLETWITHCOMPARTMENTSFORBANKNOTES,CREDITCARDSLOTS,COINPOCKET";"HARRISON Leather wallet";"Groppetti"
"302196";"39F5LHRF1L406WALLETINGRAINEDLEATHERWITH2COMPARTMENTSFORBANKNOTES,10SLOTSFORCREDITCARDS";"HARRISON Leather wallet";"Groppetti"
"302195";"39F5LHRF1L001WALLETINGRAINEDLEATHERWITH2COMPARTMENTSFORBANKNOTES,10SLOTSFORCREDITCARDS";"HARRISON Leather Billfold Wallet";"Groppetti"
"302194";"33S6LKNU2U401CAMOUFLAGEDUFFLEBAGWITHGUNMETALDETAILS.INTENSIVEWITHZIPPOCKET,SACKPOCKET,MOBILEPHONEPOCKET.ZIPCLOSURE.";"Kent Borsone Camouflage";"Groppetti"
"302193";"33S6LKNU2C001BAGWITHSHOULDERSTRAPINSIDEWITHVARIOUSCOMPARTMENTSZIPCLOSURE";"Kent Borsone";"Groppetti"
"302192";"32F8SF6Z0L402WALLETMADEOFTEXTUREDLEATHERWITHNUMEROUSCOMPARTMENTS,ONEOFWHICHISCENTRALWITHZIP,2REARCOMPARTMENTSFORCREDITCARDS,CENTRALPOCKETWITHZIP,2FRONTCOMPARTMENTSFORCREDITCARDS";"Small wallet in textured leather";"Groppetti"
"302191";"30T9GV6T9L203LEATHERBAGWITHHANDLES,TOPZIPCLOSURE,BACKPOCKETWITHSNAPCLOSURE.METALDETAILSINGOLDTONES.";"VOYAGER LG Shopping bag";"Groppetti"
"302190";"30F9GZCS2L626ZOEHANDBAGMADEOFLEATHERANDWITHASTRUCTUREDLINE,EXTREMELYCAPACIOUSINTERIORTHANKSTOTHEACCORDIONSIDEGUSSETS.REMOVABLESHOULDERSTRAP,PADLOCKPENDANTS.GOLDTONEMETALDETAILS.INTERNALDETAIL";"ZOE Medium leather handbag";"Groppetti"
"302189";"30F9GZCS2E219ZOEHANDBAGMADEOFEMBOSSEDCROCODILEEFFECTLEATHERANDSTRUCTUREDLINE,EXTREMELYROOMYINTERIORTHANKSTOTHEACCORDIONSIDEGUSSETS.REMOVABLESHOULDERSTRAP,PADLOCKSHAPEDPENDANTS.METALDETAILSING";"Zoe Medium handbag in textured leather";"Groppetti"
"302188";"MS08ZKJDVY100SHORTSLEEVEDTWILLSUITWITHMINIPETALSPRINT,MATCHINGBELT,WIDETROUSERSANDCROP,INVISIBLEZIPCLOSUREONTHEBACK.";"Jumpsuit with mini petal print";"Groppetti"
"302187";"MS08ZKFDZM001CREPECREWNECKDRESSWITHPETALPRINT,FLOUNCEBOTTOMANDINVISIBLEZIPCLOSUREONTHEBACK.";"Crepe dress with petal print";"Groppetti"
"302186";"MS08XUMECW539SLEEVELESSDRESSINTEXTUREDJERSEYWITHFLORALPRINT,AMERICANNECKLINE,FLOUNCEONTHEBOTTOMANDINVISIBLEZIPCLOSUREONTHESIDE.";"Textured floral jersey dress";"Groppetti"
"302185";"MS05MJCE6R539TSHIRTBLOUSEINTULLEWITHSEQUINFLOWERS,TEARDROPOPENINGONTHEBACKANDMATCHINGLINING.";"Tulle blouse with flowers";"Groppetti"
"302184";"MH96P5BBVC100CARDIGANINVISCOSEBLENDWITHBUTTONCLOSURE.";"Cardigan in viscose blend";"Groppetti"
"302183";"MH96P5BBVC456CARDIGANINVISCOSEBLENDWITHBUTTONCLOSURE.";"Cardigan in viscose blend";"Groppetti"
"302182";"34H9SJ6E9L001POCHETTEINHAMMEREDLEATHERWITHZIPCENTRALCOMPARTMENTWITHPOCKETSFORCARDS,PRACTICALSTRAP.SILVERTONEMETALDETAILS.";"Jet Set Wallet";"Groppetti"
"302181";"32S0GJ6C7T001COMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHERWITHSTUDS.EQUIPPEDWITHCHAIN.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.AUTOMATICBOOTNECLOS";"JET SET Shoulder bag in textured leather with studs";"Groppetti"
"302180";"32S0GJ6C7T683COMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHERWITHSTUDS.EQUIPPEDWITHCHAIN.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.AUTOMATICBOOTNECLOS";"JET SET Shoulder bag in textured leather with studs";"Groppetti"
"302179";"32F7GGNM8L187GINNYCOMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHER.EQUIPPEDWITHCHAINANDOVERSIZEDTASSEL.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.TOPZI";"Ginny leather shoulder bag";"Groppetti"
"302178";"32F7GGNM8L182GINNYCOMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHER.EQUIPPEDWITHCHAINANDOVERSIZEDTASSEL.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.TOPZI";"Ginny leather shoulder bag";"Groppetti"
"302177";"32F7GGNM8L414GINNYCOMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHER.EQUIPPEDWITHCHAINANDOVERSIZEDTASSEL.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.TOPZI";"Ginny leather shoulder bag";"Groppetti"
"302176";"32F7GGNM8L001GINNYCOMPACTANDSLIGHTLYSTRUCTUREDSHOULDERBAGMADEOFTEXTUREDLEATHER.EQUIPPEDWITHCHAINANDOVERSIZEDTASSEL.GOLDTONEMETALDETAILS.INTERNALDETAILS:BACKPOCKETWITHZIP,FRONTSLOTPOCKET.TOPZI";"Ginny leather shoulder bag";"Groppetti"
"302175";"30S9GM9S2L001MERCERHANDBAGMADEOFSOFTTEXTUREDLEATHER,LARGEINTERIOR.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKSLIPPOCKET,FRONTSLIPPOCKET.INTERNALDETAILS:BACKPOCKETWITHZIP,BACKSLIPPOCKET,4FRONTSL";"Medium Mercer handbag in grained leather";"Groppetti"
"302174";"30S9GJ4L9T690JADESHOULDERBAG,FRONTANDBACKPOCKETS,SACHETMODEL.MADEOFCOLORBLOCKLEATHERANDWITHAFACETEDBUCKLE.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKSLIPPOCKET.INTERNALDETAILS:3COMPARTMENTSFORC";"Extra-small Jade shoulder bag in tricolor leather";"Groppetti"
"302173";"30S0SNMS0L688TRAPEZEBAG,INSAFFIANOLEATHER,PENDANTWITHLOGOANDASHOULDERSTRAPWITHCHAIN.SIDEGUSSETSADJUSTABLEWITHBELT,INSIDEWITHPOCKETS.SILVERTONEMETALDETAILS.REMOVABLESHOULDERSTRAP.FRONTANDBACKP";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302172";"30S0GNMS1L683TRAPEZEBAG,INSAFFIANOLEATHER,PENDANTWITHLOGOANDASHOULDERSTRAPWITHCHAIN.SIDEGUSSETSADJUSTABLEWITHBELT,INSIDEWITHPOCKETS.GOLDTONEMETALDETAILS.REMOVABLESHOULDERSTRAP.FRONTANDBACKPOU";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302171";"30S0GCCS1T182CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302170";"30S0GCCS1T230CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302169";"30S0GCCS1T001CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302160";"30S0GNMS1L683TRAPEZEBAG,INSAFFIANOLEATHER,PENDANTWITHLOGOANDASHOULDERSTRAPWITHCHAIN.SIDEGUSSETSADJUSTABLEWITHBELT,INSIDEWITHPOCKETS.GOLDTONEMETALDETAILS.REMOVABLESHOULDERSTRAP.FRONTANDBACKPOU";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302159";"30S0GCCS1T182CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302158";"30S0GCCS1T230CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302157";"30S0GCCS1T001CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302156";"30S0SNMS0L688TRAPEZEBAG,INSAFFIANOLEATHER,PENDANTWITHLOGOANDASHOULDERSTRAPWITHCHAIN.SIDEGUSSETSADJUSTABLEWITHBELT,INSIDEWITHPOCKETS.SILVERTONEMETALDETAILS.REMOVABLESHOULDERSTRAP.FRONTANDBACKP";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302155";"30S0GNMS1L683TRAPEZEBAG,INSAFFIANOLEATHER,PENDANTWITHLOGOANDASHOULDERSTRAPWITHCHAIN.SIDEGUSSETSADJUSTABLEWITHBELT,INSIDEWITHPOCKETS.GOLDTONEMETALDETAILS.REMOVABLESHOULDERSTRAP.FRONTANDBACKPOU";"Small Carmen handbag in Saffiano leather";"Groppetti"
"302154";"30S0GCCS1T182CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302153";"30S0GCCS1T230CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
